year,agricultura,industria,construccion,servicios,total
1927,3.92353076364905,1.46881583567357,0.432160463147785,2.27200237464197,8.09650943711237
1928,3.90026306152747,1.50176837431895,0.448011412336634,2.35382753806247,8.20387038624553
1929,3.87639657332674,1.53516841240738,0.464355490688507,2.4381361923198,8.31405666874242
1930,3.86126951717956,1.5728116295524,0.482369353314234,2.53109763235504,8.44754813240122
1931,3.85969261075155,1.61703002557478,0.502839651457395,2.63682021978763,8.61638250757136
1932,3.86314475300771,1.66465836568957,0.524861825773334,2.75053898086118,8.80320392533181
1933,3.86564405144987,1.71326588899032,0.547713031433603,2.86845278052736,8.99507575240115
1934,3.86273365403459,1.76082599200496,0.570759544527885,2.98723664039934,9.18155583096678
1935,3.85585746507811,1.80784594242155,0.594164360053825,3.10774127892023,9.36560904647372
1936,4.02888110089425,1.7185995330314,0.582108696490421,3.03747418625141,9.36706351666749
1937,4.18329727306062,1.62352416581831,0.566725004462857,2.95019778451999,9.32374422786177
1938,4.32738585469114,1.5279721633997,0.549684231276107,2.85471190560417,9.25975415497111
1939,4.43036580937365,1.42324346806931,0.527668603997371,2.73388669889338,9.11516458033372
1940,4.52920347115602,1.32376603935002,0.505798468121732,2.6143697919822,8.97313777060998
1941,4.52267113545607,1.35117656913765,0.521062031335544,2.61190673736502,9.00681647329428
1942,4.5220299575832,1.38095085643732,0.537485304657723,2.61284449082267,9.05331060950091
1943,4.55471963380245,1.42178566138963,0.558513338412889,2.63305085686937,9.16806949047434
1944,4.60164485651231,1.46829483558816,0.582135036832686,2.66151039854354,9.3135851274767
1945,4.65090187445147,1.51692826132741,0.60699701934718,2.69134713360738,9.46617428873343
1946,4.70171623805175,1.56751596538843,0.633059509704034,2.72211473354021,9.62440644668442
1947,4.75558731593653,1.62064319751961,0.660588521624064,2.75468308710546,9.79150212218566
1948,4.83267577751591,1.68344372237055,0.692553396043556,2.80073883302484,10.0094117289549
1949,4.91882280741532,1.75145834734086,0.727219511438666,2.85209247459215,10.249593140787
1950,4.97472138905907,1.81065242565972,0.758772964145427,2.8859490436985,10.4300958225627
1951,4.87405560137095,1.8512403476344,0.76358044400441,2.97586580023208,10.4647421932418
1952,4.7759780165557,1.89295655757991,0.768507074935375,3.06893824830289,10.5063798973739
1953,4.68832231053378,1.93910706634488,0.774861788180592,3.17063507005549,10.5729262351148
1954,4.60201263910189,1.9862693245798,0.781224444165839,3.27551485167925,10.6450212595268
1955,4.56186333435462,2.06074900605281,0.810903512731824,3.34840429529681,10.7819201484361
1956,4.51936786987992,2.14831588851093,0.845748344526308,3.43312205537263,10.9465541582898
1957,4.47459951456536,2.22664056030943,0.876968420288582,3.53087630047749,11.1090847956409
1958,4.42807308175151,2.3247303406736,0.915989576236245,3.64984594061523,11.3186389392766
1959,4.37509220444678,2.32471649512312,0.916356118683719,3.56774777481836,11.183912593072
1960,4.3125060873262,2.29463094991073,0.904864341546084,3.54748108564736,11.0594824644304
1961,4.24577922920176,2.37245264559599,0.935937465397273,3.69106036046926,11.2452297006643
1962,4.15959034701612,2.48377556917414,0.980244517592451,3.81311363972384,11.4367240735065
1963,4.06994819626571,2.58305434563631,1.01981327256809,3.96216957531996,11.6349853897901
1964,3.84523806104129,2.7094549984132,1.07010836575875,4.09031318051576,11.715114605729
1965,3.97916095152603,2.69152408759124,1.14271488326848,4.37343746418338,12.1868373865691
1966,3.98925103231598,2.70756753411615,1.18739581712062,4.32569493791786,12.2099093214706
1967,3.84798990125673,2.76136026658204,1.23095972762646,4.47780484718243,12.3181147426477
1968,3.76726925493716,2.77268505236433,1.26335340466926,4.61103980420248,12.4143475161732
1969,3.59665516157989,2.84440869565217,1.28010875486381,4.70541456542502,12.4265871775209
1970,3.41962010771993,2.88310171374167,1.28569387159533,4.90526700095511,12.493682694012
1971,3.28477993716338,2.9350069819105,1.31473647859922,5.13287671919771,12.6674001168708
