Year,Agricultura,Industria,Construccion,Servicios
1969,28.9432256032941,22.8897013718905,10.3013702521596,37.8657027726558
1970,27.370793636042,23.0764762028371,10.2907517589793,39.2619784021416
1971,25.9309716820945,23.1697661306331,10.3788975359531,40.5203646513194
1972,24.4548303132426,23.5318719961941,10.2925132272889,41.7207844632744
1973,23.1290834449084,23.8173786197439,10.2909466197972,42.7625913155504
1974,21.9480993122296,24.0476965138481,10.4410577132793,43.563146460643
1975,20.387653110413,24.8930594273717,10.4005786239067,44.3187088383086
1976,19.2218507545266,25.4671953217253,10.4196776555209,44.8912762682271
1977,18.432950962383,25.4220660652973,10.9473622533137,45.197620719006
1978,18.1080079649283,25.3932661228652,10.5258130323291,45.9729128798773
1979,17.5360356648039,24.8424849218498,10.0529290300582,47.568550383288
1980,17.0620070420331,24.8261928565316,9.58668233418141,48.5251177672539
1981,16.3857984048053,23.9398258431175,9.08330085834551,50.5910748937317
1982,16.054952117598,23.0830577312661,9.01928735310652,51.8427027980294
1983,15.9557550683461,22.6916160115652,8.78978906195293,52.5628398581357
1984,15.6532888059,22.6556901419632,7.82224948089683,53.86877157124
1985,15.2197610600751,22.2461825447476,7.52009609744946,55.0139602977279
1986,13.8003388729598,22.0440216948473,7.88420640680321,56.2714330253897
1987,12.7884109317904,21.6922508899642,8.40777940408412,57.1115587741613
1988,12.146513671189,21.3004044331431,8.94331859793115,57.6097632977368
1989,10.8935561243378,21.1340971220149,9.57616960275057,58.3961771508968
1990,10.077140732358,20.9521438259963,9.94719442419981,59.0235210174459
1991,8.96006857786523,20.3936462897015,10.2401902437466,60.4060948886867
1992,8.39978681500777,19.9669226919699,9.74157512850466,61.8917153645177
1993,8.15747733807291,19.4209344478141,9.11774116023942,63.3038470538736
1994,7.81615071617831,19.0748576216322,8.89767747711619,64.2113141850733
1995,7.27442434643844,18.9764318888362,9.21497339084223,64.5341703738831
1996,7.38570886894716,19.4047716407813,9.17674698705605,64.0327725032156
1997,7.02628574710828,19.5954823840261,9.5529053612585,63.8253265076071
1998,6.7658141088785,19.5142280483017,9.92760262035806,63.7923552224618
1999,6.2923893432368,19.2985921799481,10.623180962164,63.7858375146511
2000,5.91574769524479,19.0082644628099,11.5966238790223,63.479363962923
2001,5.75972138796362,18.4016211919887,12.001795931245,63.8368614888027
2002,5.55180660131648,17.8227257659705,12.1430600937633,64.4824075389497
2003,5.33511323881421,17.415070889339,12.3175980482416,64.9322178236052
2004,5.01863520879268,16.9065553404143,12.4452975477632,65.6295119030298
2005,4.70902157356293,16.2811801181847,12.8550131256279,66.1547851826245
2006,4.29227931598637,15.4663776663923,13.1279764075738,67.1133666100476
2007,4.06311199047061,14.7518725646565,13.3678908158527,67.8171246290202
2008,3.90532902094731,14.5810033350462,11.7703956714929,69.7432719725136
2009,3.98023827787642,13.7430868839884,9.81649063142028,72.4601842067149
2010,4.11668439120349,13.6967506240323,8.67363525658333,73.5129297281809
2011,4.07996736026112,13.599324538737,7.55927285915046,74.7614352418514
2012,4.14543498378065,13.3015431597507,6.50830756320211,76.0447142932665
2013,4.22855879262006,13.1438414299389,5.87904629980922,76.7485534776318
2014,4.21910855564807,12.847035431135,5.67715924329106,77.2566967699259
2015,4.14071929246416,12.7769085700206,5.89251703874205,77.1898550987732
2016,4.17453844391714,12.7862101275082,5.81552913672349,77.2237222918512
2017,4.21138775593113,12.8402518736645,5.94942186172329,76.9989385086811
